symbol_clean,classification,trades,unique_accounts,unique_symbols,total_pnl,avg_pnl,median_pnl,win_rate,total_volume_usd,avg_size_usd,avg_leverage,total_fee
KBONK,Greed,237,4,1,3926.672547,16.56823859493671,0.0,44.72573839662447,289253.33999999997,1220.4782278481011,,91.640549
PNUT,Fear,484,4,1,3797.399374,7.845866475206612,0.6926464999999999,81.19834710743802,730362.86,1509.014173553719,,164.349399
MAVIA,Fear,189,2,1,3775.923644,19.978431978835978,2.571464,70.8994708994709,223267.74,1181.3107936507936,,31.498416
CHILLGUY,Greed,147,4,1,3592.30437,24.43744469387755,0.863993,53.06122448979592,202035.62,1374.3919727891157,,29.470038
ZRO,Fear,63,3,1,3461.772046,54.948762634920634,3.29392,71.42857142857143,162281.6,2575.898412698413,,24.432579999999998
WLD,Fear,273,1,1,3449.37812,12.635084688644689,0.0,31.868131868131865,232662.11,852.2421611721611,,74.459986
TST,Fear,165,1,1,3357.994369,20.351481024242425,0.56,55.757575757575765,490758.53,2974.2941212121214,,55.336389
ALT,Fear,126,2,1,3315.350174,26.31230296825397,6.781092,71.42857142857143,221187.79,1755.4586507936508,,61.730281
XRP,Fear,1399,12,1,3272.246304999999,2.3389894960686197,0.0,31.236597569692638,5115072.41,3656.2347462473194,,634.302941
BLUR,Extreme Greed,32,1,1,3051.77917,95.3680990625,20.889560000000003,78.125,109184.34000000001,3412.0106250000003,,24.163391
IP,Fear,469,5,1,3043.288104,6.488887215351813,0.204668,54.37100213219617,477338.87,1017.7801066098081,,60.948891
POPCAT,Fear,329,4,1,2884.941016,8.768817677811551,0.0,34.34650455927052,302555.12,919.6204255319149,,82.272981
ME,Greed,10,1,1,2767.02671,276.702671,36.311615,80.0,82767.39,8276.739,,8.874559999999999
ACE,Extreme Greed,25,1,1,2760.71491,110.4285964,131.6067,92.0,72261.42,2890.4568,,-1.445217
MOVE,Fear,101,3,1,2680.29906,26.537614455445542,7.478213,87.12871287128714,127452.6,1261.9069306930694,,18.121268
APE,Extreme Greed,29,1,1,2665.441806,91.9117864137931,13.218345,55.172413793103445,136114.51,4693.603793103449,,-2.722273
TIA,Greed,186,4,1,2624.405233,14.10970555376344,0.0,47.31182795698925,480961.21,2585.8129569892476,,118.350492
@59,Fear,35,2,1,2557.105607,73.0601602,0.0,22.857142857142858,19868.89,567.6825714285715,,3.2856874499999997
ALT,Extreme Greed,123,2,1,2555.35237,20.775222520325205,4.63358,58.536585365853654,231321.81,1880.6651219512196,,-1.475869
OP,Extreme Greed,63,1,1,2396.96776,38.0471073015873,5.88,90.47619047619048,202393.85,3212.6007936507935,,24.077619000000002
VVV,Fear,85,2,1,2212.897418,26.034087270588234,9.88,78.82352941176471,213572.86000000002,2512.621882352941,,29.261099
TIA,Extreme Greed,38,3,1,2143.4042799999997,56.40537578947368,0.0,23.684210526315788,151531.97,3987.6834210526317,,27.253908
JUP,Extreme Greed,70,1,1,2086.378863,29.80541232857143,15.4473,95.71428571428572,152093.02,2172.7574285714286,,19.842359000000002
SAND,Fear,169,1,1,2073.560524,12.269588899408284,0.0,28.402366863905325,81700.82,483.43680473372785,,27.689865
RENDER,Fear,58,2,1,2036.523907,35.11248115517241,0.30541,51.724137931034484,104640.71,1804.1501724137931,,25.252629
TAO,Greed,41,2,1,1900.454066,46.35253819512195,0.991666,60.97560975609756,90430.71,2205.627073170732,,16.366991
RUNE,Extreme Greed,69,1,1,1899.7633720000001,27.532802492753625,0.78848,66.66666666666666,128458.31,1861.7146376811593,,3.080541
TNSR,Greed,249,1,1,1872.036407,7.5182185020080325,0.0,30.120481927710845,172688.13,693.5266265060241,,57.940113
BIGTIME,Extreme Greed,45,1,1,1839.73937,40.88309711111111,4.97475,71.11111111111111,117267.14,2605.9364444444445,,8.110339
MAVIA,Extreme Greed,16,1,1,1801.5562400000001,112.59726500000001,15.813846999999999,68.75,33960.149999999994,2122.5093749999996,,0.537393
TNSR,Fear,129,1,1,1772.627704,13.741300031007752,0.0,43.41085271317829,60800.63,471.3227131782946,,21.280152
HBAR,Greed,170,2,1,1738.505561,10.2265033,0.0,41.76470588235294,54978.76,323.4044705882353,,16.889169
NTRN,Extreme Greed,65,2,1,1711.3687009999999,26.328749246153844,15.2292,81.53846153846153,129457.98,1991.6612307692308,,8.424309000000001
@4,Neutral,668,1,1,1655.7840410000001,2.4787186242514974,0.0,11.676646706586826,63370.62,94.86619760479043,,11.091133
SCR,Greed,32,1,1,1612.97536,50.40548,31.60801,65.625,49793.18,1556.036875,,17.427599999999998
KFLOKI,Greed,31,1,1,1556.721213,50.21681332258065,9.985665,58.06451612903226,35870.94,1157.1270967741937,,12.47073
FTT,Greed,941,1,1,1512.902413,1.6077602688629118,0.0,30.605738575983,222012.0,235.93198724760893,,56.948197
STX,Extreme Greed,42,1,1,1484.61133,35.34788880952381,11.178239999999999,92.85714285714286,110903.95,2640.570238095238,,7.090707
COMP,Greed,86,2,1,1479.9831900000001,17.209106860465116,0.5819205000000001,61.627906976744185,102931.91,1196.8826744186047,,19.134757
APT,Fear,64,3,1,1470.173505,22.971461015625,0.0,40.625,144552.95,2258.63984375,,21.772418
HPOS,Greed,25,1,1,1452.742134,58.10968536,16.38954,56.00000000000001,33725.4,1349.016,,6.406359999999999
W,Neutral,564,1,1,1413.272196,2.5058017659574467,0.0,32.801418439716315,294954.8,522.9695035460993,,85.621655
